GEOIDFQ,cat4_mom_slosh_hightide_maximum,emergency_shelters_count,FEMA_SFHA_intersect,fire_stations_count,igtn_prob_test_maximum,n10_landslide_susc_maximum,onsite_sewage_disposal_count,police_stations_count,slrxa_3pt2ft_acres,staterf_inann_mean,wastewater_plants_count,GEO_ID,NAME,B01001_001E,B25034_006E,B25034_007E,B25034_008E,B25034_009E,B25034_010E,B25034_011E,B25046_001E,B27010_017E,B27010_033E,B27010_050E,B27010_066E,B28002_013E,C16002_004E,C16002_007E,C16002_010E,C16002_013E,B09019_005E,B09019_008E,B19101_001E,C17002_002E,C17002_003E,C17002_004E,C17002_005E,C17002_006E,C17002_007E,B20005_002E,B01001_003E,B01001_004E,B01001_005E,B01001_006E,B01001_020E,B01001_021E,state,county,tract,block group,GEO_ID_2,B05013_017E,B05013_018E,B05013_019E,B01001_017E,B01001_018E,B01001_019E,B01001_016E,B01001_044E,B01001_045E,B01001_046E,B01001_047E,B01001_048E,B01001_049E,B02001_002E,B02001_003E,B02001_004E,B02001_005E,B02001_006E,B02001_007E,B02001_008E,B25008_003E,GEO_ID_2.1,P5_002N,P5_003N,P5_004N,P5_005N,P5_008N,P5_009N,P5_010N
1500000US150030102051,12.0,1,1,1,0.40000000596,81.0,339,1,129.604577745,78.6000082435,2,1500000US150030102051,Block Group 1; Census Tract 102.05; Honolulu County; Hawaii,1494,43,233,94,45,82,0,988.0,0,0,27,0,18,0,0,12,7,30,96,413,33,58,19,58,15,0,,41,51,76,16,19,32,15,3,10205,1,1500000US150030102051,,,,45,5,12,109,30,34,30,17,0,6,581,9,0,103,135,9,657,401,1500000US150030102051,0,0,0,0,0,0,26
1500000US150070402051,15.0,1,1,1,0.639999985695,77.0,209,1,66.6904854618,46.0582833608,1,1500000US150070402051,Block Group 1; Census Tract 402.05; Kauai County; Hawaii,1285,123,521,83,49,5,5,903.0,95,51,56,0,41,5,0,0,0,83,78,259,6,135,86,59,34,0,,10,149,6,0,0,32,15,7,40205,1,1500000US150070402051,,,,61,5,45,33,14,54,95,3,19,15,489,24,26,244,32,24,446,720,1500000US150070402051,0,0,0,0,0,0,0
1500000US150070408002,1.0,1,1,1,0.689999997616,81.0,285,1,,28.7019055106,1,1500000US150070408002,Block Group 2; Census Tract 408; Kauai County; Hawaii,1538,16,36,14,90,11,0,1461.0,0,0,40,0,18,0,0,0,0,36,21,392,36,24,0,40,0,21,,0,19,38,27,22,0,15,7,40800,2,1500000US150070408002,,,,67,69,32,49,34,21,0,0,0,45,265,0,0,923,59,0,291,266,1500000US150070408001,0,0,0,0,0,0,38
1500000US150079400001,12.0,1,1,1,0.839999973774,81.0,469,1,158.95888727,55.8454585212,1,1500000US150079400001,Block Group 1; Census Tract 9400; Kauai County; Hawaii,2208,80,93,132,0,15,47,1722.0,13,29,84,0,71,0,0,0,0,155,27,514,64,88,143,309,82,53,,74,107,29,6,27,38,15,7,940000,1,1500000US150079400001,,,,29,63,43,79,17,36,104,28,3,16,899,0,0,221,229,111,748,861,1500000US150079400001,0,0,0,0,0,0,6
1500000US150079400002,12.0,1,1,1,0.860000014305,80.0,336,1,116.921665084,44.2105388348,1,1500000US150079400002,Block Group 2; Census Tract 9400; Kauai County; Hawaii,2277,71,132,62,116,6,17,1441.0,13,21,26,0,68,0,0,15,0,36,46,498,88,193,56,78,134,180,,62,82,76,35,49,16,15,7,940000,2,1500000US150079400002,,,,124,28,45,72,16,12,77,60,45,47,159,0,0,131,1266,3,718,178,1500000US150079400002,0,0,0,0,0,0,0
1500000US150070402054,10.0,1,1,1,0.639999985695,81.0,372,1,55.8131471014,50.9135844323,1,1500000US150070402054,Block Group 4; Census Tract 402.05; Kauai County; Hawaii,1069,24,96,74,145,36,36,851.0,0,6,36,0,76,0,0,20,0,47,70,304,89,129,12,21,26,6,,59,14,38,11,28,44,15,7,40205,4,1500000US150070402054,,,,30,18,45,25,16,36,32,22,11,60,346,0,0,321,16,5,381,343,1500000US150070402054,0,0,0,0,0,0,5
1500000US150030053001,10.0,1,1,1,0.899999976158,0.0,1,1,2.89299849061,32.185781002,1,1500000US150030053001,Block Group 1; Census Tract 53; Honolulu County; Hawaii,3439,115,338,338,147,32,0,997.0,43,168,34,0,105,0,0,266,0,76,37,690,138,436,231,317,311,15,,228,139,215,10,3,54,15,3,5300,1,1500000US150030053001,,,,28,43,0,102,6,56,46,95,11,53,326,15,0,1284,865,15,934,3439,1500000US150030053001,0,0,0,0,0,0,0
1500000US150010220002,8.0,1,1,1,0.959999978542,81.0,376,1,6.30378180383,87.0411271009,1,1500000US150010220002,Block Group 2; Census Tract 220; Hawaii County; Hawaii,1407,0,45,31,18,30,248,898.0,0,16,40,31,84,0,0,4,0,54,36,285,24,274,24,52,113,66,,27,76,29,50,51,40,15,1,22000,2,1500000US150010220002,,,,25,6,25,44,11,11,8,35,16,18,159,0,4,703,62,0,479,357,1500000US150010220002,0,0,0,0,0,0,0
1500000US150010221022,9.0,1,0,2,0.910000026226,81.0,354,1,21.1857883832,161.607511911,1,1500000US150010221022,Block Group 2; Census Tract 221.02; Hawaii County; Hawaii,948,64,102,34,32,68,84,860.0,0,0,19,0,30,0,0,0,0,81,55,256,103,98,8,30,76,44,,18,71,24,0,50,13,15,1,22102,2,1500000US150010221022,,,,69,8,21,6,17,38,21,7,6,7,437,15,0,155,132,12,197,214,1500000US150010221022,0,0,0,0,0,0,0
1500000US150010204003,21.0,1,1,2,0.800000011921,26.0,54,1,37.5204073013,140.41590271,1,1500000US150010204003,Block Group 3; Census Tract 204; Hawaii County; Hawaii,1236,4,260,51,65,88,43,832.0,0,0,60,0,97,0,0,24,0,171,186,245,94,141,207,62,16,24,,5,47,0,0,9,17,15,1,20400,3,1500000US150010204003,,,,19,27,38,9,30,22,50,58,12,29,433,14,0,330,27,71,361,867,1500000US150010204003,0,0,0,0,0,0,51
1500000US150010205001,17.0,1,1,1,0.77999997139,0.0,9,1,30.1416717744,135.796904714,1,1500000US150010205001,Block Group 1; Census Tract 205; Hawaii County; Hawaii,1234,188,258,114,17,22,26,,23,8,0,0,102,0,0,57,0,17,97,285,315,20,0,257,101,0,,0,91,0,0,0,26,15,1,20500,1,1500000US150010205001,,,,122,0,56,25,25,57,19,0,81,22,42,180,8,671,0,20,313,883,1500000US150010205001,0,0,0,0,0,0,53
1500000US150030003012,4.0,1,1,1,0.629999995232,81.0,6,1,,38.8222872019,1,1500000US150030003012,Block Group 2; Census Tract 3.01; Honolulu County; Hawaii,1398,180,32,29,65,58,0,1153.0,0,0,46,0,31,13,0,43,0,73,17,443,54,0,0,0,0,17,,12,63,18,33,27,45,15,3,301,2,1500000US150030003012,,,,82,28,34,22,10,58,53,14,19,0,327,31,0,915,0,0,125,162,1500000US150030003011,0,0,0,0,0,0,0
1500000US150030086111,9.0,1,1,1,0.990000009537,81.0,15,1,35.5410706806,27.6237977892,1,1500000US150030086111,Block Group 1; Census Tract 86.11; Honolulu County; Hawaii,25,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,,0,0,0,0,0,0,15,3,8611,1,1500000US150030086111,,,,0,0,0,4,0,0,0,0,4,0,0,0,0,8,0,0,17,0,1500000US150030086111,0,0,0,0,0,0,24
1500000US150030096081,7.0,1,1,1,0.810000002384,3.0,1,1,15.0058962961,23.9611504873,1,1500000US150030096081,Block Group 1; Census Tract 96.08; Honolulu County; Hawaii,1058,33,174,41,0,40,63,688.0,54,33,20,0,56,18,0,0,0,5,74,191,227,13,0,4,219,12,,9,65,0,0,58,0,15,3,9608,1,1500000US150030096081,,,,119,0,2,72,18,0,0,30,4,15,45,46,159,155,281,73,299,575,1500000US150030096081,0,0,0,0,0,0,11
1500000US150030074001,13.0,3,1,1,0.949999988079,51.0,1,1,88.4643529273,25.3281305298,1,1500000US150030074001,Block Group 1; Census Tract 74; Honolulu County; Hawaii,5034,10,5,9,0,203,81,686.0,0,5,0,0,5,0,0,0,0,51,62,276,3,5,10,62,80,0,,41,49,38,35,0,0,15,3,7400,1,1500000US150030074001,,,,5,1,0,35,0,0,0,0,0,0,3177,665,32,262,4,581,313,1006,1500000US150030074001,0,0,0,0,0,4619,22
1500000US150030084082,9.0,1,1,1,0.889999985695,0.0,21,1,31.8345709981,21.381698513,1,1500000US150030084082,Block Group 2; Census Tract 84.08; Honolulu County; Hawaii,4313,0,0,70,19,0,0,2995.0,188,15,59,0,0,0,0,0,0,70,53,1276,69,15,15,0,202,97,,276,233,400,81,59,18,15,3,8408,2,1500000US150030084082,,,,85,34,47,261,18,45,10,35,0,0,1344,336,22,1162,79,126,1244,1136,1500000US150030084082,0,0,0,0,0,0,0
1500000US150030100001,9.0,1,1,1,0.899999976158,81.0,307,1,282.184577931,51.2183205399,2,1500000US150030100001,Block Group 1; Census Tract 100; Honolulu County; Hawaii,1201,25,51,156,72,32,121,1012.0,0,25,91,0,18,37,0,9,0,46,110,216,79,13,12,22,13,0,,29,10,38,0,7,38,15,3,10000,1,1500000US150030100001,,,,85,23,9,10,41,11,17,33,35,52,545,10,0,178,170,37,261,428,1500000US150030100002,0,0,0,0,0,0,0
1500000US150030105051,11.0,1,1,1,0.310000002384,50.0,11,1,123.481233727,52.9809368503,1,1500000US150030105051,Block Group 1; Census Tract 105.05; Honolulu County; Hawaii,1074,27,111,59,81,0,0,,0,0,8,0,0,0,0,0,0,4,40,251,0,13,0,0,33,0,,29,9,8,8,17,7,15,3,10505,1,1500000US150030105051,,,,98,24,8,69,19,38,23,52,16,9,91,0,0,516,236,0,231,24,1500000US150030105053,0,0,0,0,0,0,0
1500000US150030018041,8.0,1,1,1,0.469999998808,0.0,1,1,0.451620345344,25.6289615631,1,1500000US150030018041,Block Group 1; Census Tract 18.04; Honolulu County; Hawaii,623,357,179,40,0,0,27,351.0,0,14,41,0,16,0,0,43,0,150,135,95,83,11,0,20,0,14,,13,0,23,5,24,13,15,3,1804,1,1500000US150030018041,,,,33,0,27,15,0,9,89,0,0,0,280,0,0,260,0,30,53,179,1500000US150030018041,0,0,0,0,0,0,0
1500000US150030103052,12.0,1,1,1,0.370000004768,48.0,6,1,0.602697272765,65.9311605181,1,1500000US150030103052,Block Group 2; Census Tract 103.05; Honolulu County; Hawaii,1173,92,102,136,19,10,0,887.0,0,0,0,0,0,0,0,13,0,20,19,299,36,68,188,0,0,28,,51,44,217,0,0,0,15,3,10305,2,1500000US150030103052,,,,73,9,8,0,0,25,0,11,19,0,221,0,0,80,609,0,263,683,1500000US150030103052,0,0,0,0,0,0,17
1500000US150030003011,8.0,1,1,1,0.639999985695,81.0,11,1,0.455832445451,52.1906440959,1,1500000US150030003011,Block Group 1; Census Tract 3.01; Honolulu County; Hawaii,1935,19,82,190,332,60,10,1508.0,9,56,8,0,27,0,0,0,0,31,57,504,73,223,4,18,0,15,,37,30,18,8,9,27,15,3,301,1,1500000US150030003011,,,,25,31,15,77,9,18,82,47,10,101,510,145,0,756,84,0,440,252,1500000US150030003012,0,0,0,0,0,0,0
1500000US150030004022,4.0,1,0,1,0.550000011921,81.0,8,1,0.185910830942,38.1579040245,1,1500000US150030004022,Block Group 2; Census Tract 4.02; Honolulu County; Hawaii,2596,148,203,181,14,5,0,1892.0,0,23,16,7,0,0,0,12,0,58,33,692,0,34,5,271,0,24,,81,162,33,72,50,42,15,3,402,2,1500000US150030004022,,,,46,40,32,143,28,37,36,93,42,64,672,0,0,1597,16,6,305,452,1500000US150030004022,0,0,0,0,0,0,0
1500000US150039900010,10.0,1,1,1,0.540000021458,38.0,1,1,12.8101580626,34.6788781671,1,1500000US150039900010,Block Group 0; Census Tract 9900.01; Honolulu County; Hawaii,0,0,0,0,0,0,0,-666666666.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,15,3,990001,0,1500000US150039900010,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1500000US150039900010,0,0,0,0,0,0,0
1500000US150030006002,9.0,1,1,1,0.600000023842,81.0,176,1,27.6623627745,23.9969530667,1,1500000US150030006002,Block Group 2; Census Tract 6; Honolulu County; Hawaii,1169,30,47,134,166,12,112,963.0,0,19,4,0,10,0,0,0,0,15,26,396,105,15,0,13,12,0,,19,29,23,18,10,30,15,3,600,2,1500000US150030006002,,,,47,4,64,24,12,26,49,59,18,38,288,0,1,504,0,65,311,68,1500000US150030006002,0,0,0,0,0,0,13
1500000US150030018033,12.0,1,1,1,0.469999998808,0.0,3,1,6.83279176096,,1,1500000US150030018033,Block Group 3; Census Tract 18.03; Honolulu County; Hawaii,1011,23,345,287,71,0,0,357.0,0,6,64,0,51,0,9,26,0,130,145,183,41,106,43,75,31,0,,16,14,0,0,18,34,15,3,1803,3,1500000US150030018033,,,,33,20,9,45,8,14,33,41,36,9,445,0,0,260,23,83,200,615,1500000US150030018033,0,0,0,0,0,0,9
1500000US150030024011,12.0,1,1,1,0.629999995232,0.0,1,1,4.09361167171,28.2790031433,1,1500000US150030024011,Block Group 1; Census Tract 24.01; Honolulu County; Hawaii,890,74,39,33,102,38,24,,0,9,45,0,30,0,0,26,0,75,40,181,35,30,9,31,11,0,,22,6,49,24,7,28,15,3,2401,1,1500000US150030024011,,,,32,17,16,33,18,10,24,12,0,0,71,8,0,456,41,24,290,823,1500000US150030024012,0,0,0,0,0,0,0
1500000US150030050004,8.0,1,1,1,0.889999985695,11.0,2,1,,36.7036933899,1,1500000US150030050004,Block Group 4; Census Tract 50; Honolulu County; Hawaii,1010,26,88,136,50,43,0,,0,14,15,0,32,0,0,23,0,177,43,156,144,7,19,17,49,154,,9,0,27,58,7,0,15,3,5000,4,1500000US150030050004,,,,11,7,14,22,9,21,23,28,14,166,212,0,10,645,68,7,68,687,1500000US150030050004,154,0,0,154,0,0,0
1500000US150030001071,9.0,1,1,1,0.829999983311,81.0,10,1,0.311099352537,35.138632701,1,1500000US150030001071,Block Group 1; Census Tract 1.07; Honolulu County; Hawaii,1624,34,380,46,2,0,0,1074.0,0,6,12,0,4,0,0,9,0,42,24,415,10,78,0,0,43,80,,108,77,51,32,2,4,15,3,107,1,1500000US150030001071,,,,37,16,21,51,9,14,53,41,9,5,464,0,6,576,16,35,527,339,1500000US150030001072,0,0,0,0,0,0,0
1500000US150030078082,4.0,1,0,1,0.829999983311,44.0,2,1,,30.5574817657,1,1500000US150030078082,Block Group 2; Census Tract 78.08; Honolulu County; Hawaii,1344,0,42,231,88,63,0,545.0,0,44,13,0,29,0,0,47,0,57,22,326,183,72,38,31,51,58,,43,40,15,9,38,25,15,3,7808,2,1500000US150030078082,,,,20,24,0,27,49,0,0,0,19,0,42,63,0,835,88,0,316,987,1500000US150030078081,0,0,0,0,0,0,4
1500000US150030075041,12.0,1,1,1,0.939999997616,28.0,1,1,10.411557754,31.2282619476,1,1500000US150030075041,Block Group 1; Census Tract 75.04; Honolulu County; Hawaii,1233,18,224,123,25,5,0,707.0,0,8,19,0,11,6,6,17,0,38,76,291,40,29,64,12,86,9,,17,32,38,10,30,11,15,3,7504,1,1500000US150030075041,,,,18,6,10,90,10,23,12,49,22,28,47,5,0,508,201,52,420,821,1500000US150030075042,0,0,0,0,0,0,12
1500000US150030105053,11.0,1,0,1,0.340000003576,80.0,24,1,2.08388925806,52.5337280273,1,1500000US150030105053,Block Group 3; Census Tract 105.05; Honolulu County; Hawaii,836,0,104,179,8,32,0,731.0,0,0,17,0,31,0,0,0,0,7,36,232,55,53,15,0,6,0,,11,18,9,5,15,50,15,3,10505,3,1500000US150030105053,,,,19,16,16,54,7,23,51,15,20,14,278,0,0,223,9,0,326,76,1500000US150030105052,0,0,0,0,0,0,27
1500000US150030105081,11.0,1,1,1,0.300000011921,76.0,1,1,16.2597748908,47.7369426381,1,1500000US150030105081,Block Group 1; Census Tract 105.08; Honolulu County; Hawaii,850,33,61,8,60,15,7,525.0,0,0,0,0,0,0,0,0,0,24,11,152,28,27,0,37,14,0,,24,16,46,0,11,13,15,3,10508,1,1500000US150030105081,,,,20,26,21,26,7,12,7,13,46,0,224,6,9,194,185,0,232,155,1500000US150030105081,6,0,0,6,0,0,0
1500000US150030096082,9.0,1,1,1,0.980000019073,81.0,82,1,7.56545716348,26.7059770279,1,1500000US150030096082,Block Group 2; Census Tract 96.08; Honolulu County; Hawaii,1036,29,176,43,25,49,3,823.0,6,22,8,0,38,0,0,0,0,106,24,211,83,214,81,22,0,104,,0,30,47,11,2,13,15,3,9608,2,1500000US150030096082,,,,66,32,10,8,6,0,42,3,0,9,60,0,0,94,358,0,524,526,1500000US150030096082,0,0,0,0,0,0,2
1500000US150039800001,7.0,1,1,1,0.819999992847,81.0,2,1,48.4700049858,27.4731634898,1,1500000US150039800001,Block Group 1; Census Tract 9800; Honolulu County; Hawaii,0,0,0,0,0,0,0,-666666666.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,15,3,980000,1,1500000US150039800001,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1500000US150039800001,0,0,0,0,0,0,0
1500000US150030001141,6.0,1,1,1,0.75,14.0,1,1,3.17918729619,27.0360900334,1,1500000US150030001141,Block Group 1; Census Tract 1.14; Honolulu County; Hawaii,550,0,11,110,48,6,10,428.0,10,10,0,0,7,0,0,0,0,10,32,172,2,0,7,0,0,0,,37,0,0,23,9,5,15,3,114,1,1500000US150030001141,,,,10,0,7,10,9,13,24,12,0,32,168,0,0,170,0,0,212,35,1500000US150030001141,0,0,0,0,0,0,0
1500000US150030073021,11.0,1,1,1,0.949999988079,0.0,1,1,14.8225032864,22.2564953168,1,1500000US150030073021,Block Group 1; Census Tract 73.02; Honolulu County; Hawaii,1147,0,19,0,0,79,210,642.0,25,0,7,0,7,0,0,0,0,7,11,308,7,0,40,12,0,0,,54,47,15,28,0,8,15,3,7302,1,1500000US150030073021,,,,28,0,0,13,0,0,8,0,0,0,928,12,0,93,0,0,114,1147,1500000US150030073022,0,0,0,0,0,0,0
1500000US150030083013,11.0,1,1,1,0.910000026226,0.0,1,1,11.9257073748,21.716557312,1,1500000US150030083013,Block Group 3; Census Tract 83.01; Honolulu County; Hawaii,1173,0,103,118,69,21,13,593.0,0,8,0,0,0,0,0,0,0,32,21,255,87,8,39,103,18,0,,0,81,31,0,0,12,15,3,8301,3,1500000US150030083013,,,,6,0,6,69,3,6,0,0,10,0,575,17,0,102,127,164,188,1173,1500000US150030083012,0,0,0,0,0,0,0
1500000US150030073022,5.0,1,0,1,0.939999997616,0.0,1,1,,22.3621814251,1,1500000US150030073022,Block Group 2; Census Tract 73.02; Honolulu County; Hawaii,1062,68,30,46,51,41,11,464.0,0,0,0,0,0,0,0,0,0,0,0,280,0,0,0,0,0,84,,206,99,49,26,0,0,15,3,7302,2,1500000US150030073022,,,,0,13,0,55,0,0,0,0,0,0,739,55,0,88,0,13,167,1062,1500000US150030073021,0,0,0,0,0,0,0
1500000US150030103033,12.0,1,1,1,0.439999997616,81.0,244,1,329.748672548,67.421586932,1,1500000US150030103033,Block Group 3; Census Tract 103.03; Honolulu County; Hawaii,997,131,38,82,21,13,6,718.0,4,3,21,0,33,0,0,0,0,102,45,170,19,87,7,12,98,0,,40,25,47,25,5,23,15,3,10303,3,1500000US150030103033,,,,23,6,6,32,21,18,30,19,0,20,206,0,0,185,199,19,388,312,1500000US150030103033,0,0,0,0,0,0,17
1500000US150030112011,9.0,1,0,1,0.839999973774,0.0,1,1,1.58264100186,37.5799429757,1,1500000US150030112011,Block Group 1; Census Tract 112.01; Honolulu County; Hawaii,1271,26,41,75,180,59,0,808.0,0,0,43,0,0,0,0,0,0,0,25,313,33,10,3,25,45,20,,0,45,87,13,10,23,15,3,11201,1,1500000US150030112011,,,,31,21,39,8,7,6,15,6,20,75,786,4,35,151,59,150,86,309,1500000US150030112014,0,0,0,0,0,0,0
1500000US150030111061,10.0,1,0,1,0.879999995232,75.0,1,1,,35.7099844615,1,1500000US150030111061,Block Group 1; Census Tract 111.06; Honolulu County; Hawaii,1620,13,19,138,177,28,0,,0,32,0,0,0,0,0,13,0,9,7,358,38,7,9,88,0,5,,18,19,23,80,0,22,15,3,11106,1,1500000US150030111061,,,,137,3,22,63,8,19,11,32,9,108,356,0,0,294,351,0,619,137,1500000US150030111061,0,0,0,0,0,0,0
1500000US150030036042,8.0,1,1,1,0.180000007153,0.0,1,1,0.127068371923,27.6184740067,1,1500000US150030036042,Block Group 2; Census Tract 36.04; Honolulu County; Hawaii,1140,37,179,551,55,0,0,552.0,0,0,0,0,96,0,27,98,0,167,183,268,24,33,142,20,64,0,,0,66,7,0,48,28,15,3,3604,2,1500000US150030036042,,,,21,23,9,54,9,21,58,32,6,49,119,0,0,800,7,0,214,669,1500000US150030036042,0,0,0,0,0,0,3
1500000US150030102021,10.0,1,1,1,0.52999997139,74.0,43,1,12.4945327277,55.7898105719,1,1500000US150030102021,Block Group 1; Census Tract 102.02; Honolulu County; Hawaii,2065,4,183,6,19,33,0,354.0,25,210,0,0,0,0,0,0,0,6,19,184,47,30,14,74,0,80,,16,46,57,93,4,0,15,3,10202,1,1500000US150030102021,,,,12,0,10,85,5,5,23,12,0,0,571,11,23,433,462,44,521,400,1500000US150030102021,0,0,0,0,1159,0,0
1500000US150030102024,9.0,1,1,1,0.519999980927,57.0,270,1,90.752871127,52.5937395269,1,1500000US150030102024,Block Group 4; Census Tract 102.02; Honolulu County; Hawaii,1440,45,203,63,28,28,33,783.0,0,30,20,0,13,0,0,7,0,26,10,260,44,181,22,53,55,0,,129,98,50,12,11,14,15,3,10202,4,1500000US150030102024,,,,51,8,27,15,7,32,12,24,7,0,594,0,0,89,139,0,618,803,1500000US150030102023,0,0,0,0,118,0,0
1500000US150030111053,11.0,1,1,1,0.899999976158,0.0,1,1,1.68305022203,38.2511854172,1,1500000US150030111053,Block Group 3; Census Tract 111.05; Honolulu County; Hawaii,760,129,189,29,0,0,0,556.0,0,0,16,0,0,0,0,0,0,115,41,210,0,17,7,0,0,0,,24,37,37,0,6,9,15,3,11105,3,1500000US150030111053,,,,25,0,0,31,18,4,33,0,5,0,372,0,0,56,0,26,306,473,1500000US150030111053,0,0,0,0,0,0,21
1500000US150030001082,8.0,1,1,1,0.540000021458,23.0,1,1,19.0902276637,33.5844790141,1,1500000US150030001082,Block Group 2; Census Tract 1.08; Honolulu County; Hawaii,885,15,83,158,8,14,0,671.0,34,0,8,0,0,0,0,0,0,23,10,272,165,20,0,0,71,0,,13,50,0,6,11,9,15,3,108,2,1500000US150030001082,,,,8,10,27,32,0,9,43,13,0,0,408,126,0,131,20,0,200,332,1500000US150030001081,0,0,0,0,0,0,7
1500000US150030001081,8.0,1,1,1,0.810000002384,0.0,29,1,41.0491644788,31.6914568814,1,1500000US150030001081,Block Group 1; Census Tract 1.08; Honolulu County; Hawaii,1086,249,66,0,0,0,0,820.0,0,0,0,0,6,0,0,12,0,36,33,346,136,13,0,0,11,6,,0,0,7,33,21,8,15,3,108,1,1500000US150030001081,,,,88,26,11,58,6,23,110,23,30,19,380,0,13,472,0,30,191,237,1500000US150030001083,0,0,0,0,0,0,0
1500000US150030103053,12.0,1,1,1,0.330000013113,81.0,103,1,56.9345628886,56.4836331095,1,1500000US150030103053,Block Group 3; Census Tract 103.05; Honolulu County; Hawaii,2485,40,181,92,254,27,0,1459.0,61,13,11,0,0,0,0,0,0,60,22,531,243,26,0,0,338,32,,120,120,132,50,0,32,15,3,10305,3,1500000US150030103053,,,,46,17,169,61,8,37,37,50,17,25,743,0,9,400,228,25,1080,867,1500000US150030103053,0,0,0,0,0,0,25
1500000US150030002003,9.0,1,1,1,0.589999973774,81.0,5,1,2.42872009478,32.1944880852,1,1500000US150030002003,Block Group 3; Census Tract 2; Honolulu County; Hawaii,1687,1,48,272,182,0,0,,14,0,0,0,11,0,0,0,0,28,37,432,17,46,0,0,51,0,,28,76,44,13,97,20,15,3,200,3,1500000US150030002003,,,,65,6,74,52,25,14,68,29,19,57,246,6,0,874,77,12,472,13,1500000US150030002001,35,0,0,35,0,0,8
1500000US150030087022,13.0,1,1,1,0.949999988079,49.0,5,1,5.63742487746,23.0638780594,1,1500000US150030087022,Block Group 2; Census Tract 87.02; Honolulu County; Hawaii,1316,18,110,28,117,14,14,670.0,27,53,17,12,36,0,0,54,0,32,30,246,126,27,73,90,188,0,,29,79,27,19,7,13,15,3,8702,2,1500000US150030087022,,,,27,0,7,19,61,7,14,16,25,23,71,0,0,930,23,0,292,711,1500000US150030087022,9,0,0,9,0,0,8
1500000US150030111051,11.0,2,1,1,0.829999983311,0.0,5,1,8.38392630586,36.4881695339,1,1500000US150030111051,Block Group 1; Census Tract 111.05; Honolulu County; Hawaii,1217,0,100,108,75,60,0,958.0,0,59,0,0,0,0,0,0,0,29,18,230,0,3,52,125,21,19,,51,0,44,0,36,5,15,3,11105,1,1500000US150030111051,,,,9,8,0,0,5,6,68,11,0,0,617,0,0,346,98,0,156,340,1500000US150030111051,0,0,0,0,0,0,9
1500000US150030113002,8.0,1,1,1,0.920000016689,81.0,92,1,26.3973762579,45.5499345429,1,1500000US150030113002,Block Group 2; Census Tract 113; Honolulu County; Hawaii,1150,0,74,109,35,8,0,837.0,17,22,25,0,13,0,0,8,0,32,57,234,28,53,26,66,13,26,,1,18,19,3,10,75,15,3,11300,2,1500000US150030113002,,,,25,19,6,67,0,54,16,2,18,16,180,0,0,157,197,83,533,331,1500000US150030113001,0,0,0,0,0,0,10
1500000US150030111043,11.0,1,0,1,0.860000014305,0.0,1,1,1.70739104227,37.9329541524,1,1500000US150030111043,Block Group 3; Census Tract 111.04; Honolulu County; Hawaii,1678,6,38,206,157,0,0,1149.0,0,32,34,10,59,0,0,6,0,28,16,385,55,11,0,0,57,0,,94,8,24,15,9,32,15,3,11104,3,1500000US150030111043,,,,67,45,17,45,0,41,23,14,37,30,469,9,31,543,24,8,594,571,1500000US150030111043,0,0,0,0,0,0,0
1500000US150030085021,11.0,1,1,1,0.899999976158,45.0,70,1,245.31571363,21.2507329976,1,1500000US150030085021,Block Group 1; Census Tract 85.02; Honolulu County; Hawaii,2971,90,230,93,120,39,12,1185.0,0,71,25,7,69,0,0,0,0,229,40,463,242,201,155,110,238,26,,87,80,129,42,36,27,15,3,8502,1,1500000US150030085021,,,,96,56,104,57,0,18,12,22,0,0,522,227,25,295,914,93,895,2257,1500000US150030085021,41,0,41,0,0,0,367
1500000US150030078074,1.0,1,0,1,0.860000014305,42.0,2,1,0.092432506807,33.0225410461,1,1500000US150030078074,Block Group 4; Census Tract 78.07; Honolulu County; Hawaii,942,129,382,42,0,0,21,827.0,0,23,21,0,0,23,17,13,0,230,107,251,61,0,42,0,28,28,,0,0,0,0,25,55,15,3,7807,4,1500000US150030078074,,,,42,0,15,125,29,0,14,43,0,37,228,0,0,444,29,21,220,347,1500000US150030078072,0,0,0,0,0,0,0
1500000US150030111064,5.0,1,0,1,0.899999976158,81.0,1,1,,37.0896844864,1,1500000US150030111064,Block Group 4; Census Tract 111.06; Honolulu County; Hawaii,1024,69,35,32,257,0,0,792.0,31,0,29,0,0,0,0,0,0,8,19,339,0,10,0,0,0,0,,90,10,112,0,21,0,15,3,11106,4,1500000US150030111064,,,,0,9,40,34,10,11,19,19,0,0,488,0,0,191,11,0,334,294,1500000US150030111064,0,0,0,0,0,0,0
